district,name,Funding Source,Tax Allocation Year,variable,value
0,0,LIHTC,2018.0,# of Tax Credit Units,70.0
1,Sarah Mcbride,LIHTC,2016.0,# of Tax Credit Units,72.0
1,Sarah Mcbride,LIHTC,2017.0,# of Tax Credit Units,128.0
1,Sarah Mcbride,LIHTC,2018.0,# of Tax Credit Units,50.0
1,Sarah Mcbride,LIHTC,2019.0,# of Tax Credit Units,51.0
1,Sarah Mcbride,LIHTC,2022.0,# of Tax Credit Units,60.0
10,Stephanie L. Hansen,LIHTC,2020.0,# of Tax Credit Units,106.0
11,Bryan Townsend,LIHTC,2017.0,# of Tax Credit Units,60.0
13,Marie Pinkney,LIHTC,2017.0,# of Tax Credit Units,120.0
14,Kyra Hoffner,LIHTC,2021.0,# of Tax Credit Units,54.0
15,Dave Lawson,LIHTC,2020.0,# of Tax Credit Units,32.0
15,Dave Lawson,LIHTC,2021.0,# of Tax Credit Units,126.0
16,Eric Buckson,LIHTC,2022.0,# of Tax Credit Units,36.0
17,Trey Paradee,LIHTC,2017.0,# of Tax Credit Units,100.0
17,Trey Paradee,LIHTC,2022.0,# of Tax Credit Units,110.0
18,Dave Wilson,LIHTC,2017.0,# of Tax Credit Units,34.0
18,Dave Wilson,LIHTC,2018.0,# of Tax Credit Units,34.0
18,Dave Wilson,LIHTC,2019.0,# of Tax Credit Units,34.0
19,Brian G. Pettyjohn,LIHTC,2022.0,# of Tax Credit Units,24.0
2,Darius J. Brown,LIHTC,2019.0,# of Tax Credit Units,59.0
2,Darius J. Brown,LIHTC,2020.0,# of Tax Credit Units,50.0
2,Darius J. Brown,LIHTC,2021.0,# of Tax Credit Units,50.0
2,Darius J. Brown,LIHTC,2022.0,# of Tax Credit Units,51.0
20,Gerald W. Hocker,LIHTC,2016.0,# of Tax Credit Units,38.0
20,Gerald W. Hocker,LIHTC,2017.0,# of Tax Credit Units,56.0
20,Gerald W. Hocker,LIHTC,2020.0,# of Tax Credit Units,42.0
20,Gerald W. Hocker,LIHTC,2021.0,# of Tax Credit Units,42.0
21,Bryant L. Richardson,LIHTC,2018.0,# of Tax Credit Units,34.0
3,Elizabeth Lockman,LIHTC,2016.0,# of Tax Credit Units,51.0
3,Elizabeth Lockman,LIHTC,2017.0,# of Tax Credit Units,35.0
3,Elizabeth Lockman,LIHTC,2018.0,# of Tax Credit Units,77.0
3,Elizabeth Lockman,LIHTC,2019.0,# of Tax Credit Units,128.0
3,Elizabeth Lockman,LIHTC,2020.0,# of Tax Credit Units,52.0
3,Elizabeth Lockman,LIHTC,2021.0,# of Tax Credit Units,129.0
3,Elizabeth Lockman,LIHTC,2022.0,# of Tax Credit Units,53.0
6,Russ Huxtable,LIHTC,2016.0,# of Tax Credit Units,32.0
4,Laura Sturgeon,LIHTC,0,# of Tax Credit Units,0.0
7,Spiros Mantzavinos,LIHTC,0,# of Tax Credit Units,0.0
12,Nicole Poore,LIHTC,0,# of Tax Credit Units,0.0
9,Jack Walsh,LIHTC,0,# of Tax Credit Units,0.0
5,Kyle Evans Gay,LIHTC,0,# of Tax Credit Units,0.0
8,David P. Sokola,LIHTC,0,# of Tax Credit Units,0.0
0,0,LIHTC,2018.0,ALLOCATION AMOUNT,1247683.0
1,Sarah Mcbride,LIHTC,2016.0,ALLOCATION AMOUNT,503861.0
1,Sarah Mcbride,LIHTC,2017.0,ALLOCATION AMOUNT,1841225.0
1,Sarah Mcbride,LIHTC,2018.0,ALLOCATION AMOUNT,881051.0
1,Sarah Mcbride,LIHTC,2019.0,ALLOCATION AMOUNT,8135.0
1,Sarah Mcbride,LIHTC,2022.0,ALLOCATION AMOUNT,0.0
10,Stephanie L. Hansen,LIHTC,2020.0,ALLOCATION AMOUNT,656670.0
11,Bryan Townsend,LIHTC,2017.0,ALLOCATION AMOUNT,774946.0
13,Marie Pinkney,LIHTC,2017.0,ALLOCATION AMOUNT,497801.0
14,Kyra Hoffner,LIHTC,2021.0,ALLOCATION AMOUNT,0.0
15,Dave Lawson,LIHTC,2020.0,ALLOCATION AMOUNT,608080.0
15,Dave Lawson,LIHTC,2021.0,ALLOCATION AMOUNT,2405385.0
16,Eric Buckson,LIHTC,2022.0,ALLOCATION AMOUNT,999013.0
17,Trey Paradee,LIHTC,2017.0,ALLOCATION AMOUNT,620003.0
17,Trey Paradee,LIHTC,2022.0,ALLOCATION AMOUNT,0.0
18,Dave Wilson,LIHTC,2017.0,ALLOCATION AMOUNT,228372.0
18,Dave Wilson,LIHTC,2018.0,ALLOCATION AMOUNT,282559.0
18,Dave Wilson,LIHTC,2019.0,ALLOCATION AMOUNT,510932.0
19,Brian G. Pettyjohn,LIHTC,2022.0,ALLOCATION AMOUNT,808468.0
2,Darius J. Brown,LIHTC,2019.0,ALLOCATION AMOUNT,1056240.0
2,Darius J. Brown,LIHTC,2020.0,ALLOCATION AMOUNT,621046.0
2,Darius J. Brown,LIHTC,2021.0,ALLOCATION AMOUNT,1000000.0
2,Darius J. Brown,LIHTC,2022.0,ALLOCATION AMOUNT,1000000.0
20,Gerald W. Hocker,LIHTC,2016.0,ALLOCATION AMOUNT,792137.0
20,Gerald W. Hocker,LIHTC,2017.0,ALLOCATION AMOUNT,1044577.0
20,Gerald W. Hocker,LIHTC,2020.0,ALLOCATION AMOUNT,1000000.0
20,Gerald W. Hocker,LIHTC,2021.0,ALLOCATION AMOUNT,1000000.0
21,Bryant L. Richardson,LIHTC,2018.0,ALLOCATION AMOUNT,643394.0
3,Elizabeth Lockman,LIHTC,2016.0,ALLOCATION AMOUNT,913337.0
3,Elizabeth Lockman,LIHTC,2017.0,ALLOCATION AMOUNT,565754.0
3,Elizabeth Lockman,LIHTC,2018.0,ALLOCATION AMOUNT,1122778.0
3,Elizabeth Lockman,LIHTC,2019.0,ALLOCATION AMOUNT,2112482.0
3,Elizabeth Lockman,LIHTC,2020.0,ALLOCATION AMOUNT,1000000.0
3,Elizabeth Lockman,LIHTC,2021.0,ALLOCATION AMOUNT,1000000.0
3,Elizabeth Lockman,LIHTC,2022.0,ALLOCATION AMOUNT,1000000.0
6,Russ Huxtable,LIHTC,2016.0,ALLOCATION AMOUNT,518044.0
4,Laura Sturgeon,LIHTC,0,ALLOCATION AMOUNT,0.0
7,Spiros Mantzavinos,LIHTC,0,ALLOCATION AMOUNT,0.0
12,Nicole Poore,LIHTC,0,ALLOCATION AMOUNT,0.0
9,Jack Walsh,LIHTC,0,ALLOCATION AMOUNT,0.0
5,Kyle Evans Gay,LIHTC,0,ALLOCATION AMOUNT,0.0
8,David P. Sokola,LIHTC,0,ALLOCATION AMOUNT,0.0
0,0,LIHTC,2018.0,adj_popula,0.0
1,Sarah Mcbride,LIHTC,2016.0,adj_popula,44856.0
1,Sarah Mcbride,LIHTC,2017.0,adj_popula,44856.0
1,Sarah Mcbride,LIHTC,2018.0,adj_popula,44856.0
1,Sarah Mcbride,LIHTC,2019.0,adj_popula,44856.0
1,Sarah Mcbride,LIHTC,2022.0,adj_popula,44856.0
10,Stephanie L. Hansen,LIHTC,2020.0,adj_popula,47281.0
11,Bryan Townsend,LIHTC,2017.0,adj_popula,48203.0
13,Marie Pinkney,LIHTC,2017.0,adj_popula,48294.0
14,Kyra Hoffner,LIHTC,2021.0,adj_popula,49253.0
15,Dave Lawson,LIHTC,2020.0,adj_popula,47104.0
15,Dave Lawson,LIHTC,2021.0,adj_popula,47104.0
16,Eric Buckson,LIHTC,2022.0,adj_popula,47958.0
17,Trey Paradee,LIHTC,2017.0,adj_popula,49042.0
17,Trey Paradee,LIHTC,2022.0,adj_popula,49042.0
18,Dave Wilson,LIHTC,2017.0,adj_popula,48592.0
18,Dave Wilson,LIHTC,2018.0,adj_popula,48592.0
18,Dave Wilson,LIHTC,2019.0,adj_popula,48592.0
19,Brian G. Pettyjohn,LIHTC,2022.0,adj_popula,48726.0
2,Darius J. Brown,LIHTC,2019.0,adj_popula,44817.0
2,Darius J. Brown,LIHTC,2020.0,adj_popula,44817.0
2,Darius J. Brown,LIHTC,2021.0,adj_popula,44817.0
2,Darius J. Brown,LIHTC,2022.0,adj_popula,44817.0
20,Gerald W. Hocker,LIHTC,2016.0,adj_popula,49198.0
20,Gerald W. Hocker,LIHTC,2017.0,adj_popula,49198.0
20,Gerald W. Hocker,LIHTC,2020.0,adj_popula,49198.0
20,Gerald W. Hocker,LIHTC,2021.0,adj_popula,49198.0
21,Bryant L. Richardson,LIHTC,2018.0,adj_popula,49233.0
3,Elizabeth Lockman,LIHTC,2016.0,adj_popula,44811.0
3,Elizabeth Lockman,LIHTC,2017.0,adj_popula,44811.0
3,Elizabeth Lockman,LIHTC,2018.0,adj_popula,44811.0
3,Elizabeth Lockman,LIHTC,2019.0,adj_popula,44811.0
3,Elizabeth Lockman,LIHTC,2020.0,adj_popula,44811.0
3,Elizabeth Lockman,LIHTC,2021.0,adj_popula,44811.0
3,Elizabeth Lockman,LIHTC,2022.0,adj_popula,44811.0
6,Russ Huxtable,LIHTC,2016.0,adj_popula,48512.0
4,Laura Sturgeon,LIHTC,0,adj_popula,44999.0
7,Spiros Mantzavinos,LIHTC,0,adj_popula,45401.0
12,Nicole Poore,LIHTC,0,adj_popula,47368.0
9,Jack Walsh,LIHTC,0,adj_popula,45280.0
5,Kyle Evans Gay,LIHTC,0,adj_popula,45037.0
8,David P. Sokola,LIHTC,0,adj_popula,45633.0
0,0,LIHTC,2018.0,Average Allocation per 100 Persons,0.0
1,Sarah Mcbride,LIHTC,2016.0,Average Allocation per 100 Persons,1123.2856251114679
1,Sarah Mcbride,LIHTC,2017.0,Average Allocation per 100 Persons,4104.7462992687715
1,Sarah Mcbride,LIHTC,2018.0,Average Allocation per 100 Persons,1964.1764758337793
1,Sarah Mcbride,LIHTC,2019.0,Average Allocation per 100 Persons,18.13581237738541
1,Sarah Mcbride,LIHTC,2022.0,Average Allocation per 100 Persons,0.0
10,Stephanie L. Hansen,LIHTC,2020.0,Average Allocation per 100 Persons,1388.8665637359616
11,Bryan Townsend,LIHTC,2017.0,Average Allocation per 100 Persons,1607.671721677074
13,Marie Pinkney,LIHTC,2017.0,Average Allocation per 100 Persons,1030.7719385430903
14,Kyra Hoffner,LIHTC,2021.0,Average Allocation per 100 Persons,0.0
15,Dave Lawson,LIHTC,2020.0,Average Allocation per 100 Persons,1290.9307065217392
15,Dave Lawson,LIHTC,2021.0,Average Allocation per 100 Persons,5106.540845788043
16,Eric Buckson,LIHTC,2022.0,Average Allocation per 100 Persons,2083.099795654531
17,Trey Paradee,LIHTC,2017.0,Average Allocation per 100 Persons,1264.2286203662168
17,Trey Paradee,LIHTC,2022.0,Average Allocation per 100 Persons,0.0
18,Dave Wilson,LIHTC,2017.0,Average Allocation per 100 Persons,469.9785972999671
18,Dave Wilson,LIHTC,2018.0,Average Allocation per 100 Persons,581.4928383272967
18,Dave Wilson,LIHTC,2019.0,Average Allocation per 100 Persons,1051.47349357919
19,Brian G. Pettyjohn,LIHTC,2022.0,Average Allocation per 100 Persons,1659.2127406312852
2,Darius J. Brown,LIHTC,2019.0,Average Allocation per 100 Persons,2356.7842559742953
2,Darius J. Brown,LIHTC,2020.0,Average Allocation per 100 Persons,1385.7375549456679
2,Darius J. Brown,LIHTC,2021.0,Average Allocation per 100 Persons,2231.296159939309
2,Darius J. Brown,LIHTC,2022.0,Average Allocation per 100 Persons,2231.296159939309
20,Gerald W. Hocker,LIHTC,2016.0,Average Allocation per 100 Persons,1610.100004065206
20,Gerald W. Hocker,LIHTC,2017.0,Average Allocation per 100 Persons,2123.2102931013455
20,Gerald W. Hocker,LIHTC,2020.0,Average Allocation per 100 Persons,2032.6029513394853
20,Gerald W. Hocker,LIHTC,2021.0,Average Allocation per 100 Persons,2032.6029513394853
21,Bryant L. Richardson,LIHTC,2018.0,Average Allocation per 100 Persons,1306.8348465460158
3,Elizabeth Lockman,LIHTC,2016.0,Average Allocation per 100 Persons,2038.1982102608733
3,Elizabeth Lockman,LIHTC,2017.0,Average Allocation per 100 Persons,1262.5337528731784
3,Elizabeth Lockman,LIHTC,2018.0,Average Allocation per 100 Persons,2505.5856820869876
3,Elizabeth Lockman,LIHTC,2019.0,Average Allocation per 100 Persons,4714.204101671465
3,Elizabeth Lockman,LIHTC,2020.0,Average Allocation per 100 Persons,2231.59492088996
3,Elizabeth Lockman,LIHTC,2021.0,Average Allocation per 100 Persons,2231.59492088996
3,Elizabeth Lockman,LIHTC,2022.0,Average Allocation per 100 Persons,2231.59492088996
6,Russ Huxtable,LIHTC,2016.0,Average Allocation per 100 Persons,1067.8677440633246
4,Laura Sturgeon,LIHTC,0,Average Allocation per 100 Persons,0.0
7,Spiros Mantzavinos,LIHTC,0,Average Allocation per 100 Persons,0.0
12,Nicole Poore,LIHTC,0,Average Allocation per 100 Persons,0.0
9,Jack Walsh,LIHTC,0,Average Allocation per 100 Persons,0.0
5,Kyle Evans Gay,LIHTC,0,Average Allocation per 100 Persons,0.0
8,David P. Sokola,LIHTC,0,Average Allocation per 100 Persons,0.0
0,0,LIHTC,2018.0,Average Population per Tax Credit Unit,0.0
1,Sarah Mcbride,LIHTC,2016.0,Average Population per Tax Credit Unit,623.0
1,Sarah Mcbride,LIHTC,2017.0,Average Population per Tax Credit Unit,350.4375
1,Sarah Mcbride,LIHTC,2018.0,Average Population per Tax Credit Unit,897.12
1,Sarah Mcbride,LIHTC,2019.0,Average Population per Tax Credit Unit,879.5294117647059
1,Sarah Mcbride,LIHTC,2022.0,Average Population per Tax Credit Unit,747.6
10,Stephanie L. Hansen,LIHTC,2020.0,Average Population per Tax Credit Unit,446.04716981132077
11,Bryan Townsend,LIHTC,2017.0,Average Population per Tax Credit Unit,803.3833333333333
13,Marie Pinkney,LIHTC,2017.0,Average Population per Tax Credit Unit,402.45
