district,name,Funding Source,Tax Allocation Year,variable,value
40,Timothy D. Dukes,LIHTC,0,# of Tax Credit Units,0.0
39,Daniel B. Short,LIHTC,0,# of Tax Credit Units,0.0
35,Jesse R. Vanderwende,LIHTC,0,# of Tax Credit Units,0.0
30,Shannon Morris,LIHTC,0,# of Tax Credit Units,0.0
34,Lyndon D. Yearick,LIHTC,0,# of Tax Credit Units,0.0
31,Sean M. Lynn,LIHTC,0,# of Tax Credit Units,0.0
9,Kevin S Hensley,LIHTC,0,# of Tax Credit Units,0.0
17,Melissa Minor-Brown,LIHTC,0,# of Tax Credit Units,0.0
16,Franklin D. Cooke,LIHTC,0,# of Tax Credit Units,0.0
19,Kimberly Williams,LIHTC,0,# of Tax Credit Units,0.0
41,Richard G. Collins,LIHTC,2016,# of Tax Credit Units,38.0
38,Ronald E. Gray,LIHTC,0,# of Tax Credit Units,0.0
37,Ruth Briggs King,LIHTC,2016,# of Tax Credit Units,32.0
14,Peter C. Schwartzkopf,LIHTC,0,# of Tax Credit Units,0.0
36,Bryan W. Shupe,LIHTC,0,# of Tax Credit Units,0.0
33,Charles S Postles Jr.,LIHTC,0,# of Tax Credit Units,0.0
32,Kerri Evelyn Harris,LIHTC,0,# of Tax Credit Units,0.0
28,William J. Carson,LIHTC,0,# of Tax Credit Units,0.0
2,Stephanie T. Bolden,LIHTC,0,# of Tax Credit Units,0.0
6,Debra Heffernan,LIHTC,0,# of Tax Credit Units,0.0
29,William Bush,LIHTC,0,# of Tax Credit Units,0.0
8,Sherae'a Moore,LIHTC,0,# of Tax Credit Units,0.0
15,Valerie Longhurst,LIHTC,0,# of Tax Credit Units,0.0
27,Eric Morrison,LIHTC,0,# of Tax Credit Units,0.0
5,Kendra Johnson,LIHTC,0,# of Tax Credit Units,0.0
26,Madinah Wilson-Anton,LIHTC,0,# of Tax Credit Units,0.0
24,Edward S. Osienski,LIHTC,0,# of Tax Credit Units,0.0
25,Cyndie Romer,LIHTC,0,# of Tax Credit Units,0.0
18,Sophie Phillips,LIHTC,0,# of Tax Credit Units,0.0
23,Paul S. Baumbach,LIHTC,0,# of Tax Credit Units,0.0
13,DeShanna Neal,LIHTC,0,# of Tax Credit Units,0.0
3,Sherry Dorsey Walker,LIHTC,2016,# of Tax Credit Units,51.0
1,Nnamdi O. Chukwuocha,LIHTC,0,# of Tax Credit Units,0.0
4,Jeff Hilovsky,LIHTC,2016,# of Tax Credit Units,72.0
21,Michael Ramone,LIHTC,0,# of Tax Credit Units,0.0
22,Michael F. Smith,LIHTC,0,# of Tax Credit Units,0.0
20,Stell Parker Selby,LIHTC,0,# of Tax Credit Units,0.0
12,Krista Griffith,LIHTC,0,# of Tax Credit Units,0.0
11,Jeffrey N. Spiegelman,LIHTC,0,# of Tax Credit Units,0.0
7,Larry Lambert,LIHTC,0,# of Tax Credit Units,0.0
10,Sean Matthews,LIHTC,0,# of Tax Credit Units,0.0
35,Jesse R. Vanderwende,LIHTC,2017,# of Tax Credit Units,34.0
31,Sean M. Lynn,LIHTC,2017,# of Tax Credit Units,100.0
41,Richard G. Collins,LIHTC,2017,# of Tax Credit Units,56.0
37,Ruth Briggs King,LIHTC,0,# of Tax Credit Units,0.0
5,Kendra Johnson,LIHTC,2017,# of Tax Credit Units,120.0
24,Edward S. Osienski,LIHTC,2017,# of Tax Credit Units,60.0
3,Sherry Dorsey Walker,LIHTC,0,# of Tax Credit Units,0.0
1,Nnamdi O. Chukwuocha,LIHTC,2017,# of Tax Credit Units,53.0
4,Jeff Hilovsky,LIHTC,2017,# of Tax Credit Units,110.0
39,Daniel B. Short,LIHTC,2018,# of Tax Credit Units,34.0
35,Jesse R. Vanderwende,LIHTC,2018,# of Tax Credit Units,34.0
41,Richard G. Collins,LIHTC,0,# of Tax Credit Units,0.0
3,Sherry Dorsey Walker,LIHTC,2018,# of Tax Credit Units,77.0
4,Jeff Hilovsky,LIHTC,2018,# of Tax Credit Units,50.0
35,Jesse R. Vanderwende,LIHTC,2019,# of Tax Credit Units,34.0
2,Stephanie T. Bolden,LIHTC,2019,# of Tax Credit Units,59.0
3,Sherry Dorsey Walker,LIHTC,2019,# of Tax Credit Units,128.0
4,Jeff Hilovsky,LIHTC,2019,# of Tax Credit Units,51.0
30,Shannon Morris,LIHTC,2020,# of Tax Credit Units,32.0
41,Richard G. Collins,LIHTC,2020,# of Tax Credit Units,42.0
2,Stephanie T. Bolden,LIHTC,2020,# of Tax Credit Units,50.0
8,Sherae'a Moore,LIHTC,2020,# of Tax Credit Units,106.0
3,Sherry Dorsey Walker,LIHTC,2020,# of Tax Credit Units,52.0
4,Jeff Hilovsky,LIHTC,0,# of Tax Credit Units,0.0
30,Shannon Morris,LIHTC,2021,# of Tax Credit Units,126.0
41,Richard G. Collins,LIHTC,2021,# of Tax Credit Units,42.0
28,William J. Carson,LIHTC,2021,# of Tax Credit Units,54.0
2,Stephanie T. Bolden,LIHTC,2021,# of Tax Credit Units,50.0
3,Sherry Dorsey Walker,LIHTC,2021,# of Tax Credit Units,129.0
37,Ruth Briggs King,LIHTC,2022,# of Tax Credit Units,24.0
34,Lyndon D. Yearick,LIHTC,2022,# of Tax Credit Units,36.0
31,Sean M. Lynn,LIHTC,2022,# of Tax Credit Units,110.0
2,Stephanie T. Bolden,LIHTC,2022,# of Tax Credit Units,51.0
3,Sherry Dorsey Walker,LIHTC,2022,# of Tax Credit Units,53.0
1,Nnamdi O. Chukwuocha,LIHTC,2022,# of Tax Credit Units,60.0
40,Timothy D. Dukes,LIHTC,0,ALLOCATION AMOUNT,0.0
39,Daniel B. Short,LIHTC,0,ALLOCATION AMOUNT,0.0
35,Jesse R. Vanderwende,LIHTC,0,ALLOCATION AMOUNT,0.0
30,Shannon Morris,LIHTC,0,ALLOCATION AMOUNT,0.0
34,Lyndon D. Yearick,LIHTC,0,ALLOCATION AMOUNT,0.0
31,Sean M. Lynn,LIHTC,0,ALLOCATION AMOUNT,0.0
9,Kevin S Hensley,LIHTC,0,ALLOCATION AMOUNT,0.0
17,Melissa Minor-Brown,LIHTC,0,ALLOCATION AMOUNT,0.0
16,Franklin D. Cooke,LIHTC,0,ALLOCATION AMOUNT,0.0
19,Kimberly Williams,LIHTC,0,ALLOCATION AMOUNT,0.0
41,Richard G. Collins,LIHTC,2016,ALLOCATION AMOUNT,792137.0
38,Ronald E. Gray,LIHTC,0,ALLOCATION AMOUNT,0.0
37,Ruth Briggs King,LIHTC,2016,ALLOCATION AMOUNT,518044.0
14,Peter C. Schwartzkopf,LIHTC,0,ALLOCATION AMOUNT,0.0
36,Bryan W. Shupe,LIHTC,0,ALLOCATION AMOUNT,0.0
33,Charles S Postles Jr.,LIHTC,0,ALLOCATION AMOUNT,0.0
32,Kerri Evelyn Harris,LIHTC,0,ALLOCATION AMOUNT,0.0
28,William J. Carson,LIHTC,0,ALLOCATION AMOUNT,0.0
2,Stephanie T. Bolden,LIHTC,0,ALLOCATION AMOUNT,0.0
6,Debra Heffernan,LIHTC,0,ALLOCATION AMOUNT,0.0
29,William Bush,LIHTC,0,ALLOCATION AMOUNT,0.0
8,Sherae'a Moore,LIHTC,0,ALLOCATION AMOUNT,0.0
15,Valerie Longhurst,LIHTC,0,ALLOCATION AMOUNT,0.0
27,Eric Morrison,LIHTC,0,ALLOCATION AMOUNT,0.0
5,Kendra Johnson,LIHTC,0,ALLOCATION AMOUNT,0.0
26,Madinah Wilson-Anton,LIHTC,0,ALLOCATION AMOUNT,0.0
24,Edward S. Osienski,LIHTC,0,ALLOCATION AMOUNT,0.0
25,Cyndie Romer,LIHTC,0,ALLOCATION AMOUNT,0.0
18,Sophie Phillips,LIHTC,0,ALLOCATION AMOUNT,0.0
23,Paul S. Baumbach,LIHTC,0,ALLOCATION AMOUNT,0.0
13,DeShanna Neal,LIHTC,0,ALLOCATION AMOUNT,0.0
3,Sherry Dorsey Walker,LIHTC,2016,ALLOCATION AMOUNT,913337.0
1,Nnamdi O. Chukwuocha,LIHTC,0,ALLOCATION AMOUNT,0.0
4,Jeff Hilovsky,LIHTC,2016,ALLOCATION AMOUNT,503861.0
21,Michael Ramone,LIHTC,0,ALLOCATION AMOUNT,0.0
22,Michael F. Smith,LIHTC,0,ALLOCATION AMOUNT,0.0
20,Stell Parker Selby,LIHTC,0,ALLOCATION AMOUNT,0.0
12,Krista Griffith,LIHTC,0,ALLOCATION AMOUNT,0.0
11,Jeffrey N. Spiegelman,LIHTC,0,ALLOCATION AMOUNT,0.0
7,Larry Lambert,LIHTC,0,ALLOCATION AMOUNT,0.0
10,Sean Matthews,LIHTC,0,ALLOCATION AMOUNT,0.0
35,Jesse R. Vanderwende,LIHTC,2017,ALLOCATION AMOUNT,228372.0
31,Sean M. Lynn,LIHTC,2017,ALLOCATION AMOUNT,620003.0
41,Richard G. Collins,LIHTC,2017,ALLOCATION AMOUNT,1044577.0
37,Ruth Briggs King,LIHTC,0,ALLOCATION AMOUNT,0.0
5,Kendra Johnson,LIHTC,2017,ALLOCATION AMOUNT,497801.0
24,Edward S. Osienski,LIHTC,2017,ALLOCATION AMOUNT,774946.0
3,Sherry Dorsey Walker,LIHTC,0,ALLOCATION AMOUNT,0.0
1,Nnamdi O. Chukwuocha,LIHTC,2017,ALLOCATION AMOUNT,778622.0
4,Jeff Hilovsky,LIHTC,2017,ALLOCATION AMOUNT,1628357.0
39,Daniel B. Short,LIHTC,2018,ALLOCATION AMOUNT,643394.0
35,Jesse R. Vanderwende,LIHTC,2018,ALLOCATION AMOUNT,282559.0
41,Richard G. Collins,LIHTC,0,ALLOCATION AMOUNT,0.0
3,Sherry Dorsey Walker,LIHTC,2018,ALLOCATION AMOUNT,1122778.0
4,Jeff Hilovsky,LIHTC,2018,ALLOCATION AMOUNT,881051.0
35,Jesse R. Vanderwende,LIHTC,2019,ALLOCATION AMOUNT,510932.0
2,Stephanie T. Bolden,LIHTC,2019,ALLOCATION AMOUNT,1056240.0
3,Sherry Dorsey Walker,LIHTC,2019,ALLOCATION AMOUNT,2112482.0
4,Jeff Hilovsky,LIHTC,2019,ALLOCATION AMOUNT,8135.0
30,Shannon Morris,LIHTC,2020,ALLOCATION AMOUNT,608080.0
41,Richard G. Collins,LIHTC,2020,ALLOCATION AMOUNT,1000000.0
2,Stephanie T. Bolden,LIHTC,2020,ALLOCATION AMOUNT,621046.0
8,Sherae'a Moore,LIHTC,2020,ALLOCATION AMOUNT,656670.0
3,Sherry Dorsey Walker,LIHTC,2020,ALLOCATION AMOUNT,1000000.0
4,Jeff Hilovsky,LIHTC,0,ALLOCATION AMOUNT,0.0
30,Shannon Morris,LIHTC,2021,ALLOCATION AMOUNT,2405385.0
41,Richard G. Collins,LIHTC,2021,ALLOCATION AMOUNT,1000000.0
28,William J. Carson,LIHTC,2021,ALLOCATION AMOUNT,0.0
2,Stephanie T. Bolden,LIHTC,2021,ALLOCATION AMOUNT,1000000.0
3,Sherry Dorsey Walker,LIHTC,2021,ALLOCATION AMOUNT,1000000.0
37,Ruth Briggs King,LIHTC,2022,ALLOCATION AMOUNT,808468.0
34,Lyndon D. Yearick,LIHTC,2022,ALLOCATION AMOUNT,999013.0
31,Sean M. Lynn,LIHTC,2022,ALLOCATION AMOUNT,0.0
2,Stephanie T. Bolden,LIHTC,2022,ALLOCATION AMOUNT,1000000.0
3,Sherry Dorsey Walker,LIHTC,2022,ALLOCATION AMOUNT,1000000.0
1,Nnamdi O. Chukwuocha,LIHTC,2022,ALLOCATION AMOUNT,0.0
40,Timothy D. Dukes,LIHTC,0,Population,22131.0
39,Daniel B. Short,LIHTC,0,Population,23198.0
35,Jesse R. Vanderwende,LIHTC,0,Population,22522.0
30,Shannon Morris,LIHTC,0,Population,21840.0
34,Lyndon D. Yearick,LIHTC,0,Population,23318.0
31,Sean M. Lynn,LIHTC,0,Population,23620.0
9,Kevin S Hensley,LIHTC,0,Population,25309.0
17,Melissa Minor-Brown,LIHTC,0,Population,23479.0
16,Franklin D. Cooke,LIHTC,0,Population,22039.0
19,Kimberly Williams,LIHTC,0,Population,22600.0
41,Richard G. Collins,LIHTC,2016,Population,23734.0
38,Ronald E. Gray,LIHTC,0,Population,24754.0
37,Ruth Briggs King,LIHTC,2016,Population,25344.0
14,Peter C. Schwartzkopf,LIHTC,0,Population,22812.0
36,Bryan W. Shupe,LIHTC,0,Population,23074.0
33,Charles S Postles Jr.,LIHTC,0,Population,22678.0
32,Kerri Evelyn Harris,LIHTC,0,Population,23499.0
28,William J. Carson,LIHTC,0,Population,22262.0
2,Stephanie T. Bolden,LIHTC,0,Population,21025.0
6,Debra Heffernan,LIHTC,0,Population,22719.0
29,William Bush,LIHTC,0,Population,21923.0
8,Sherae'a Moore,LIHTC,0,Population,23526.0
15,Valerie Longhurst,LIHTC,0,Population,24656.0
27,Eric Morrison,LIHTC,0,Population,23251.0
5,Kendra Johnson,LIHTC,0,Population,22993.0
26,Madinah Wilson-Anton,LIHTC,0,Population,23477.0
24,Edward S. Osienski,LIHTC,0,Population,23319.0
25,Cyndie Romer,LIHTC,0,Population,20910.0
18,Sophie Phillips,LIHTC,0,Population,22370.0
23,Paul S. Baumbach,LIHTC,0,Population,23772.0
13,DeShanna Neal,LIHTC,0,Population,22008.0
3,Sherry Dorsey Walker,LIHTC,2016,Population,21271.0
1,Nnamdi O. Chukwuocha,LIHTC,0,Population,22322.0
4,Jeff Hilovsky,LIHTC,2016,Population,22002.0
21,Michael Ramone,LIHTC,0,Population,22735.0
22,Michael F. Smith,LIHTC,0,Population,21195.0
20,Stell Parker Selby,LIHTC,0,Population,23655.0
12,Krista Griffith,LIHTC,0,Population,23147.0
11,Jeffrey N. Spiegelman,LIHTC,0,Population,20475.0
7,Larry Lambert,LIHTC,0,Population,21694.0
10,Sean Matthews,LIHTC,0,Population,22037.0
40,Timothy D. Dukes,LIHTC,0,Population,22285.0
39,Daniel B. Short,LIHTC,0,Population,22698.0
35,Jesse R. Vanderwende,LIHTC,2017,Population,22990.0
30,Shannon Morris,LIHTC,0,Population,21533.0
34,Lyndon D. Yearick,LIHTC,0,Population,23337.0
31,Sean M. Lynn,LIHTC,2017,Population,23393.0
9,Kevin S Hensley,LIHTC,0,Population,25295.0
