HUD_ID,PROJECT,PROJ_ADD,PROJ_CTY,PROJ_ST,PROJ_ZIP,LATITUDE,LONGITUDE,N_UNITS,LI_UNITS,YR_PIS,NONPROG,
"DEA0000X001","BIRCHWOOD AT RODNEY COURT","1100 PENNSYLVANIA AVENUE","WILMINGTON",DE,"19806",39.752780914306,-75.55703735351,51,0,9999,,
"DEA0000X002","BRANDYWINE STATION APARTMENTS","500-700 CASE LANE & 800-1000 EDWARDS BLVD","MILLSBORO",DE,"19966",38.586204528808,-75.29203796386,56,0,9999,,
"DEA0000X003","H. FLETCHER BROWN MANSION APARTMENTS","1005 N. FRANKLIN STREET","WILMINGTON",DE,"19806",39.750862121582,-75.56074523925,35,0,9999,,
"DEA0000X004","HERRING RIDGE","701 INDEPENDENCE DRIVE","SEAFORD",DE,"19973",38.655998229980,-75.60769653320,34,0,9999,,
"DEA0000X006","MARYDALE RETIREMENT VILLAGE","135 JEANDELL DRIVE","NEWARK",DE,"19713",39.661430358886,-75.69792938232,108,0,9999,,
"DEA0000X008","THE FLATS PHASE III, L.P.","100 W. 10TH STREET SUITE 1104","WILMINGTON",DE,"19801",39.745647430419,-75.54846954345,77,0,9999,,
"DEA0000X009","VILLAGE AT IRON BRANCH","10 HAALS HERITAGE CIRCLE","MILLSBORO",DE,"19966",38.639099121093,-75.24859619140,38,0,9999,,
"DEA0000X010","VILLAGE OF ST. JOHN","2020 N TATNALL STREET","WILMINGTON",DE,"19802",39.752658843994,-75.54223632812,53,0,9999,,
"DEA19870005","1623 W 3RD ST","1623 W THIRD ST","WILMINGTON",DE,"19805",39.746932983398,-75.56874084472,2,2,1987,1,
"DEA19870010","BARRISTER PLACE","488 BARRISTER PL","DOVER",DE,"19901",39.157081604003,-75.49851226806,1,1,1987,1,
"DEA19870015","HOLLYBROOK FARMS III","400 CNTY RD","LAUREL",DE,"",,,32,32,1987,1,
"DEA19880005","BENNET STREET","","WILMINGTON",DE,"",,,1,1,1988,1,
"DEA19880010","BRANDYWINE APTS III","401 WILSON ST","GEORGETOWN",DE,"19947",38.686782836914,-75.39321136474,32,32,1988,1,
"DEA19880015","CARTER STREET","2209 CARTER ST","WILMINGTON",DE,"19802",39.751266479492,-75.53752136230,1,1,1988,1,
"DEA19880020","DIAMOND COURT II","35 DIAMOND CT","HARRINGTON",DE,"19952",38.920940399169,-75.57064056396,32,32,1988,1,
"DEA19880025","HARBOUR PROPERTIES","412 E FOURTH ST","WILMINGTON",DE,"19801",39.738727569580,-75.54709625244,6,6,1988,1,
