district,name,Funding Source,variable,value
0,0,LIHTC,# of Tax Credit Units,70.0
1,Sarah Mcbride,LIHTC,# of Tax Credit Units,260.0
10,Stephanie L. Hansen,LIHTC,# of Tax Credit Units,106.0
11,Bryan Townsend,LIHTC,# of Tax Credit Units,60.0
13,Marie Pinkney,LIHTC,# of Tax Credit Units,120.0
14,Kyra Hoffner,LIHTC,# of Tax Credit Units,54.0
15,Dave Lawson,LIHTC,# of Tax Credit Units,158.0
16,Eric Buckson,LIHTC,# of Tax Credit Units,36.0
17,Trey Paradee,LIHTC,# of Tax Credit Units,210.0
18,Dave Wilson,LIHTC,# of Tax Credit Units,102.0
19,Brian G. Pettyjohn,LIHTC,# of Tax Credit Units,24.0
2,Darius J. Brown,LIHTC,# of Tax Credit Units,210.0
20,Gerald W. Hocker,LIHTC,# of Tax Credit Units,178.0
21,Bryant L. Richardson,LIHTC,# of Tax Credit Units,34.0
3,S. Elizabeth Lockman,LIHTC,# of Tax Credit Units,626.0
6,Russ Huxtable,LIHTC,# of Tax Credit Units,32.0
4,Laura Sturgeon,LIHTC,# of Tax Credit Units,0
7,Spiros Mantzavinos,LIHTC,# of Tax Credit Units,0
12,Nicole Poore,LIHTC,# of Tax Credit Units,0
9,Jack Walsh,LIHTC,# of Tax Credit Units,0
5,Kyle Evans Gay,LIHTC,# of Tax Credit Units,0
8,David P. Sokola,LIHTC,# of Tax Credit Units,0
0,0,LIHTC,ALLOCATION AMOUNT,1247683.0
1,Sarah Mcbride,LIHTC,ALLOCATION AMOUNT,2345086.0
10,Stephanie L. Hansen,LIHTC,ALLOCATION AMOUNT,656670.0
11,Bryan Townsend,LIHTC,ALLOCATION AMOUNT,774946.0
13,Marie Pinkney,LIHTC,ALLOCATION AMOUNT,497801.0
14,Kyra Hoffner,LIHTC,ALLOCATION AMOUNT,0
15,Dave Lawson,LIHTC,ALLOCATION AMOUNT,3013465.0
16,Eric Buckson,LIHTC,ALLOCATION AMOUNT,999013.0
17,Trey Paradee,LIHTC,ALLOCATION AMOUNT,620003.0
18,Dave Wilson,LIHTC,ALLOCATION AMOUNT,1021863.0
19,Brian G. Pettyjohn,LIHTC,ALLOCATION AMOUNT,808468.0
2,Darius J. Brown,LIHTC,ALLOCATION AMOUNT,3677286.0
20,Gerald W. Hocker,LIHTC,ALLOCATION AMOUNT,3836714.0
21,Bryant L. Richardson,LIHTC,ALLOCATION AMOUNT,643394.0
